id	date	fajr	maghrib	region_id
479	2021-04-25	4:09:00	19:17:00	16
480	2021-04-26	4:07:00	19:18:00	16
481	2021-04-27	4:05:00	19:19:00	16
482	2021-04-28	4:03:00	19:20:00	16
483	2021-04-29	4:02:00	19:21:00	16
484	2021-04-30	4:00:00	19:22:00	16
485	2021-05-01	3:58:00	19:23:00	16
486	2021-05-02	3:56:00	19:24:00	16
487	2021-05-03	3:55:00	19:25:00	16
488	2021-05-04	3:53:00	19:26:00	16
489	2021-05-05	3:51:00	19:27:00	16
490	2021-05-06	3:50:00	19:28:00	16
491	2021-05-07	3:48:00	19:29:00	16
492	2021-05-08	3:47:00	19:30:00	16
493	2021-05-09	3:45:00	19:32:00	16
494	2021-05-10	3:44:00	19:33:00	16
495	2021-05-11	3:42:00	19:34:00	16
496	2021-05-12	3:41:00	19:35:00	16
